Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,A_CascadeState,A_HasSTI,A_Risk,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,B_CascadeState,B_HasSTI,B_Risk
1,152.083,252.602,1,1,1,21,0,0,36.2766,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM,54,0,1,15.8569,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM
2,152.083,881.725,1,1,1,15,0,0,30.4563,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM,65,0,1,32.817,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM
3,182.5,592.88,0,1,1,79,0,0,27.6834,1,1,0,0,0,1,1,10,0,0,0,None,NO,MEDIUM,69,0,1,27.4079,1,1,0,0,0,1,1,10,0,0,0,None,NO,MEDIUM
4,182.5,8501.43,2,1,1,84,0,0,18.4323,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM,68,0,1,15.5551,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
5,182.5,1342.52,2,1,1,95,0,0,24.878,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM,17,0,1,19.3555,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
6,243.333,1130.38,1,1,1,36,0,0,32.914,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM,56,0,1,29.5843,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM
7,273.75,1325.71,2,1,1,67,0,0,22.0801,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM,85,0,1,18.2104,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
8,365,3619.09,2,1,1,76,0,0,29.5556,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM,74,0,1,18.6689,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
9,395.417,919.995,0,1,1,2,0,0,24.7579,1,1,0,0,0,1,1,10,0,0,0,None,NO,MEDIUM,54,0,1,16.5236,1,1,0,0,0,2,1,10,0,0,0,None,NO,MEDIUM
10,456.25,3307.62,2,1,1,19,0,0,50.0015,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM,10,0,1,44.2872,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
11,486.667,1152.8,1,1,1,3,0,0,44.1028,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM,25,0,1,20.1014,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM
12,760.417,3218.84,2,1,1,98,0,0,55.0977,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM,93,0,1,48.5551,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
13,973.334,2296.75,0,1,1,47,0,0,19.119,1,1,0,0,0,1,1,10,0,0,0,None,NO,MEDIUM,54,0,1,18.1069,1,1,0,0,0,3,1,10,0,0,0,None,NO,MEDIUM
14,1003.75,1792.06,1,1,1,21,0,0,38.61,1,0,1,0,0,2,1,10,0,0,0,None,NO,MEDIUM,88,0,1,32.7587,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM
15,1095,6722.07,2,1,1,44,0,0,57.3305,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM,80,0,1,51.37,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
16,1216.67,1347.97,0,1,1,59,0,0,31.3083,1,1,0,0,0,1,1,10,0,0,0,None,NO,MEDIUM,40,0,1,30.4456,1,1,0,0,0,1,1,10,0,0,0,None,NO,MEDIUM
17,1247.08,1310.83,2,1,1,91,0,0,18.1321,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM,97,0,1,17.8153,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
18,1307.92,1538.11,0,1,1,57,0,0,19.0273,1,1,0,0,0,1,1,10,0,0,0,None,NO,MEDIUM,7,0,1,14.848,1,1,0,0,0,1,1,10,0,0,0,None,NO,MEDIUM
19,1307.92,1466.88,1,1,1,46,0,0,40.1241,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM,78,0,1,23.1429,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM
20,1307.92,1541.9,2,1,1,2,0,0,27.258,1,0,0,1,0,2,1,10,0,0,0,None,NO,MEDIUM,92,0,1,15.5269,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
21,1368.75,6673.3,2,1,1,3,0,0,46.5194,1,0,0,1,0,2,1,10,0,0,0,None,NO,MEDIUM,13,0,1,42.3512,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
22,1429.58,2041.67,1,1,1,59,0,0,31.8916,1,0,1,0,0,2,1,10,0,0,0,None,NO,MEDIUM,50,0,1,23.4792,1,0,1,0,0,1,1,10,0,0,0,None,NO,MEDIUM
23,1429.58,1686.78,1,1,1,15,0,0,33.9563,1,0,1,0,0,2,1,10,0,0,0,None,NO,MEDIUM,85,0,1,21.377,1,0,1,0,0,2,1,10,0,0,0,None,NO,MEDIUM
24,1429.58,5418.29,2,1,1,15,0,0,33.9563,2,0,1,1,0,3,2,10,0,0,0,None,NO,MEDIUM,83,0,1,34.3536,1,0,0,1,0,1,1,10,0,0,0,None,NO,MEDIUM
